image,"(90, 90)","(90, 70)","(90, 68)","(80, 50)","(40, 67)"
100_4.JPG,2,4,4,4,3
101_7.JPG,1,1,1,2,1
102_8.JPG,1,1,1,2,2
103_8.JPG,1,2,2,5,4
104_6.JPG,1,3,3,5,4
105_6.JPG,1,2,2,4,4
106_6.JPG,2,2,4,5,4
107_8.JPG,1,3,3,4,4
108_4.JPG,1,4,4,4,4
109_4.JPG,1,1,1,2,2
10_2.JPG,1,2,2,2,2
110_4.JPG,2,4,4,4,4
111_2.JPG,1,2,2,2,2
112_4.JPG,3,4,4,4,4
113_4.JPG,1,1,1,1,1
114_5.JPG,1,2,2,2,2
115_5.JPG,1,2,2,2,1
116_5.JPG,1,2,2,2,2
117_5.JPG,1,2,2,2,2
118_4.JPG,3,4,4,4,4
119_4.JPG,3,4,4,4,4
11_2.JPG,1,2,2,2,3
120_6.JPG,1,1,1,1,1
121_4.JPG,3,4,4,5,18
122_3.JPG,2,2,2,1,1
123_6.JPG,1,1,1,2,2
12_2.JPG,2,2,2,2,2
13_2.JPG,2,2,2,2,3
14_2.JPG,2,2,2,2,3
154_6.JPG,3,3,3,3,2
155_6.JPG,1,1,1,1,1
156_3.JPG,3,3,3,3,3
157_13.JPG,2,6,7,7,6
158_5.JPG,2,2,2,2,1
159_7.JPG,2,2,2,4,2
15_2.JPG,1,2,2,2,2
160_6.JPG,1,1,1,2,1
161_6.JPG,1,1,1,2,1
162_9.JPG,1,1,1,1,1
163_8.JPG,3,4,4,4,3
164_6.JPG,3,3,3,3,3
165_20.JPG,1,1,1,1,1
166_5.JPG,5,5,5,5,5
167_7.JPG,2,2,2,3,3
168_5.JPG,0,1,1,1,1
169_7.JPG,6,5,5,5,4
16_2.JPG,1,2,2,2,2
170_5.JPG,2,4,4,5,5
171_5.JPG,2,5,5,3,5
172_8.JPG,4,4,4,5,6
173_5.JPG,0,1,1,1,1
174_5.JPG,0,1,1,1,2
175_6.JPG,1,1,1,1,1
176_4.JPG,0,0,0,1,1
177_12.JPG,1,1,1,2,1
178_9.JPG,1,1,1,4,1
179_10.JPG,6,5,7,6,6
17_2.JPG,2,2,2,2,2
180_14.JPG,1,3,3,7,7
181_12.JPG,1,3,3,9,5
182_11.JPG,11,10,10,11,11
183_11.JPG,1,4,4,5,3
184_7.jpg,6,7,7,7,7
185_12.JPG,1,1,1,2,2
186_12.JPG,0,1,1,1,1
187_21.JPG,1,1,1,1,1
188_6.JPG,1,1,1,1,1
189_5.JPG,1,5,5,5,5
18_2.JPG,1,2,2,2,2
190_25.jpg,1,1,1,2,2
191_7.JPG,1,2,2,4,2
192_4.JPG,0,1,1,1,1
199_15.JPG,6,6,6,5,6
19_2.JPG,2,2,2,2,2
1_2.JPG,2,2,2,2,2
201_10.JPG,1,1,1,1,1
202_4.JPG,1,1,1,1,1
203_7.JPG,2,7,7,7,8
204_12.JPG,1,1,1,2,1
205_7.JPG,1,1,1,2,1
206_8.JPG,1,1,1,1,1
207_5.JPG,1,2,2,3,4
208_5.JPG,5,5,5,6,6
20_6.JPG,1,1,1,2,2
211_6.JPG,2,2,2,3,2
213_5.JPG,4,4,4,5,5
216_6.JPG,4,6,6,7,6
218_5.JPG,4,5,5,5,5
219_6.JPG,3,3,3,3,2
21_2.JPG,2,2,2,2,2
223_5.JPG,5,5,5,5,5
224_8.JPG,5,5,5,4,4
226_7.JPG,2,2,2,2,2
227_6.JPG,1,2,2,2,2
228_7.JPG,2,2,2,2,2
229_6.JPG,2,2,2,3,3
22_2.JPG,1,2,2,2,2
230_6.JPG,4,4,4,4,4
231_6.JPG,2,2,2,2,2
